2025-08-07T20:56:52.204860 UPDATE x=0 y=0 ch=h
2025-08-07T20:56:52.937484 UPDATE x=1 y=0 ch=e
2025-08-07T20:56:53.784984 UPDATE x=2 y=0 ch=l
2025-08-07T20:56:54.726363 UPDATE x=3 y=0 ch=l
2025-08-07T20:56:56.607111 UPDATE x=4 y=0 ch=o
2025-08-07T20:57:00.227031 UPDATE x=5 y=0 ch=w
2025-08-07T20:57:01.679295 UPDATE x=6 y=0 ch=o
2025-08-07T20:57:03.620698 UPDATE x=7 y=0 ch=r
2025-08-07T20:57:05.217038 UPDATE x=8 y=0 ch=l
2025-08-07T20:57:06.459788 UPDATE x=9 y=0 ch=d
2025-08-07T20:58:29.284974 UPDATE x=14 y=0 ch=<
2025-08-07T20:58:30.797331 UPDATE x=14 y=0 ch=>
2025-08-07T20:58:31.498775 UPDATE x=14 y=0 ch=;
2025-08-07T20:58:32.417797 UPDATE x=14 y=0 ch=<
2025-08-07T20:58:33.388092 UPDATE x=14 y=0 ch=>
2025-08-07T20:58:35.151527 UPDATE x=15 y=0 ch=:
2025-08-07T20:58:36.551075 UPDATE x=16 y=0 ch=)
2025-08-07T21:08:32.769631 UPDATE x=16 y=0 ch=s
2025-08-07T21:09:21.035049 UPDATE x=16 y=0 ch= 
2025-08-07T21:09:21.635193 UPDATE x=15 y=0 ch= 
2025-08-07T21:09:22.002936 UPDATE x=14 y=0 ch= 
2025-08-07T21:09:23.819142 UPDATE x=10 y=0 ch=!
2025-08-07T21:09:24.519923 UPDATE x=12 y=0 ch=!
2025-08-07T21:09:25.937506 UPDATE x=11 y=0 ch=!
2025-08-07T21:15:27.766123 UPDATE x=10 y=5 ch=A
2025-08-07T21:16:15.574045 UPDATE x=10 y=5 ch=B
2025-08-07T21:19:31.951864 UPDATE x=10 y=5 ch= 
2025-08-07T21:19:32.994703 UPDATE x=10 y=5 ch=z
2025-08-07T21:19:33.572544 UPDATE x=10 y=4 ch=z
2025-08-07T21:19:34.088709 UPDATE x=11 y=4 ch=z
2025-08-07T21:19:34.477916 UPDATE x=12 y=4 ch=z
2025-08-07T21:19:34.763099 UPDATE x=13 y=4 ch=z
2025-08-07T21:19:35.027222 UPDATE x=14 y=4 ch=z
2025-08-07T21:19:35.249423 UPDATE x=16 y=4 ch=z
2025-08-07T21:19:35.502635 UPDATE x=17 y=4 ch=z
2025-08-07T21:19:35.734881 UPDATE x=18 y=4 ch=z
2025-08-07T21:19:36.082378 UPDATE x=17 y=4 ch=z
2025-08-07T21:19:36.575610 UPDATE x=16 y=4 ch=z
2025-08-07T21:19:36.850118 UPDATE x=18 y=4 ch=z
2025-08-07T21:19:37.103276 UPDATE x=19 y=4 ch=z
2025-08-07T21:19:37.303992 UPDATE x=19 y=4 ch=z
2025-08-07T21:19:37.537302 UPDATE x=21 y=4 ch=z
2025-08-07T21:19:37.780199 UPDATE x=21 y=5 ch=z
2025-08-07T21:19:38.033549 UPDATE x=21 y=6 ch=z
2025-08-07T21:19:38.276498 UPDATE x=21 y=7 ch=z
2025-08-07T21:19:38.562024 UPDATE x=21 y=8 ch=z
2025-08-07T21:19:38.856563 UPDATE x=21 y=8 ch=z
2025-08-07T21:19:39.130665 UPDATE x=21 y=9 ch=z
2025-08-07T21:19:39.365198 UPDATE x=19 y=9 ch=z
2025-08-07T21:19:39.578262 UPDATE x=18 y=9 ch=z
2025-08-07T21:19:39.759549 UPDATE x=17 y=9 ch=z
2025-08-07T21:19:39.961010 UPDATE x=16 y=9 ch=z
2025-08-07T21:19:40.162687 UPDATE x=15 y=9 ch=z
2025-08-07T21:19:40.354226 UPDATE x=14 y=9 ch=z
2025-08-07T21:19:40.577559 UPDATE x=13 y=9 ch=z
2025-08-07T21:19:40.759359 UPDATE x=12 y=9 ch=z
2025-08-07T21:19:40.961609 UPDATE x=11 y=9 ch=z
2025-08-07T21:19:41.185014 UPDATE x=11 y=9 ch=z
2025-08-07T21:19:41.407218 UPDATE x=11 y=8 ch=z
2025-08-07T21:19:41.650939 UPDATE x=11 y=6 ch=z
2025-08-07T21:19:41.966998 UPDATE x=11 y=6 ch=z
2025-08-07T21:19:42.314436 UPDATE x=11 y=5 ch=z
2025-08-07T21:19:42.682273 UPDATE x=11 y=5 ch=z
2025-08-07T21:19:42.977118 UPDATE x=11 y=5 ch=z
2025-08-07T21:19:44.429065 UPDATE x=11 y=5 ch=z
2025-08-07T21:19:44.744789 UPDATE x=12 y=5 ch=z
2025-08-07T21:19:44.987727 UPDATE x=13 y=5 ch=z
2025-08-07T21:19:45.240980 UPDATE x=14 y=5 ch=z
2025-08-07T21:19:45.504981 UPDATE x=15 y=5 ch=z
2025-08-07T21:19:45.779437 UPDATE x=16 y=5 ch=z
2025-08-07T21:19:46.044123 UPDATE x=18 y=5 ch=z
2025-08-07T21:19:46.307642 UPDATE x=18 y=5 ch=z
2025-08-07T21:19:46.623705 UPDATE x=19 y=6 ch=z
2025-08-07T21:19:46.866640 UPDATE x=19 y=7 ch=z
